tf,motif,percentile,fold,metric,value
FOXA1,seq,,main,aupr,0.7868818203717619
FOXA1,seq,,0,aupr,0.7232289396518242
FOXA1,seq,,1,aupr,0.6503527906877223
FOXA1,seq,,2,aupr,0.6100755021845721
FOXA1,seq,,3,aupr,0.6856646343173467
FOXA1,seq,,4,aupr,0.6379428138615929
FOXA1,shape,,main,aupr,0.46674723228688453
FOXA1,shape,,0,aupr,0.439160515625661
FOXA1,shape,,1,aupr,0.49068041592863654
FOXA1,shape,,2,aupr,0.42490253884234597
FOXA1,shape,,3,aupr,0.4006278815442741
FOXA1,shape,,4,aupr,0.43831577826745605
FOXA1,shape_and_seq,,main,aupr,0.8164710521735639
FOXA1,shape_and_seq,,0,aupr,0.702130754204278
FOXA1,shape_and_seq,,1,aupr,0.6846917995173815
FOXA1,shape_and_seq,,2,aupr,0.5547161639990961
FOXA1,shape_and_seq,,3,aupr,0.6838351210324577
FOXA1,shape_and_seq,,4,aupr,0.6724227950828926
FOXA1,jaspar,,main,aupr,0.47974808191598317
FOXA1,jaspar,,0,aupr,0.46111115914680656
FOXA1,jaspar,,1,aupr,0.49044825512285395
FOXA1,jaspar,,2,aupr,0.527197956092212
FOXA1,jaspar,,3,aupr,0.4837256657110057
FOXA1,jaspar,,4,aupr,0.47127090690650664
FOXA1,shape_and_jaspar,,main,aupr,0.6293919896532255
FOXA1,shape_and_jaspar,,0,aupr,0.5842811125529072
FOXA1,shape_and_jaspar,,1,aupr,0.6081439949320302
FOXA1,shape_and_jaspar,,2,aupr,0.5405349055379762
FOXA1,shape_and_jaspar,,3,aupr,0.581313215924122
FOXA1,shape_and_jaspar,,4,aupr,0.5856849387675842
FOXA1,shape_and_seq_no_lasso,,main,aupr,0.8001143447699978
FOXA1,shape_and_seq_no_lasso,,0,aupr,0.6993576561220334
FOXA1,shape_and_seq_no_lasso,,1,aupr,0.8176866311190055
FOXA1,shape_and_seq_no_lasso,,2,aupr,0.7442112880225185
FOXA1,shape_and_seq_no_lasso,,3,aupr,0.7115911203335126
FOXA1,shape_and_seq_no_lasso,,4,aupr,0.7734887138976628
CTCF,seq,,main,aupr,0.7073243216420675
CTCF,seq,,0,aupr,0.7993124452952262
CTCF,seq,,1,aupr,0.6907465856895023
CTCF,seq,,2,aupr,0.7103372589230954
CTCF,seq,,3,aupr,0.8063615511238093
CTCF,seq,,4,aupr,0.7012001288846165
CTCF,shape,,main,aupr,0.7582830192146327
CTCF,shape,,0,aupr,0.7018399380570685
CTCF,shape,,1,aupr,0.674696414986162
CTCF,shape,,2,aupr,0.6492905213353416
CTCF,shape,,3,aupr,0.7171024156414388
CTCF,shape,,4,aupr,0.6174838049161905
CTCF,shape_and_seq,,main,aupr,0.8549989546471416
CTCF,shape_and_seq,,0,aupr,0.9005128652726727
CTCF,shape_and_seq,,1,aupr,0.8462120207721401
CTCF,shape_and_seq,,2,aupr,0.8012323001230288
CTCF,shape_and_seq,,3,aupr,0.7936452865129736
CTCF,shape_and_seq,,4,aupr,0.7529448113133143
CTCF,jaspar,,main,aupr,0.7627797006183525
CTCF,jaspar,,0,aupr,0.7751700906018412
CTCF,jaspar,,1,aupr,0.7681729282204227
CTCF,jaspar,,2,aupr,0.7770379189229475
CTCF,jaspar,,3,aupr,0.7924225520426476
CTCF,jaspar,,4,aupr,0.6958978141017371
CTCF,shape_and_jaspar,,main,aupr,0.89218029878677
CTCF,shape_and_jaspar,,0,aupr,0.8621768035526293
CTCF,shape_and_jaspar,,1,aupr,0.8908668597762154
CTCF,shape_and_jaspar,,2,aupr,0.7888828343659906
CTCF,shape_and_jaspar,,3,aupr,0.848495036535227
CTCF,shape_and_jaspar,,4,aupr,0.9295612213601533
CTCF,shape_and_seq_no_lasso,,main,aupr,0.8619048687283933
CTCF,shape_and_seq_no_lasso,,0,aupr,0.8256364292815652
CTCF,shape_and_seq_no_lasso,,1,aupr,0.7981355544020836
CTCF,shape_and_seq_no_lasso,,2,aupr,0.8168001490968664
CTCF,shape_and_seq_no_lasso,,3,aupr,0.8728027731026267
CTCF,shape_and_seq_no_lasso,,4,aupr,0.842786749373494
E2F6,seq,,main,aupr,0.7733740011655307
E2F6,seq,,0,aupr,0.6727833771912675
E2F6,seq,,1,aupr,0.31644746067998447
E2F6,seq,,2,aupr,0.735394071371481
E2F6,seq,,3,aupr,0.47122141586196475
E2F6,seq,,4,aupr,0.5141225543874304
E2F6,shape,,main,aupr,0.8687230014612766
E2F6,shape,,0,aupr,0.8066286664487365
E2F6,shape,,1,aupr,0.8694056751517414
E2F6,shape,,2,aupr,0.8409117541135471
E2F6,shape,,3,aupr,0.8339601825289635
E2F6,shape,,4,aupr,0.8017944452910153
E2F6,shape_and_seq,,main,aupr,0.8637467217591396
E2F6,shape_and_seq,,0,aupr,0.8253244997888199
E2F6,shape_and_seq,,1,aupr,0.8349427125399365
E2F6,shape_and_seq,,2,aupr,0.7895913139510452
E2F6,shape_and_seq,,3,aupr,0.7156750143872054
E2F6,shape_and_seq,,4,aupr,0.868147284717887
E2F6,jaspar,,main,aupr,0.4928067776637506
E2F6,jaspar,,0,aupr,0.5083486264342334
E2F6,jaspar,,1,aupr,0.5313978396051857
E2F6,jaspar,,2,aupr,0.4376027090931316
E2F6,jaspar,,3,aupr,0.5045611232726455
E2F6,jaspar,,4,aupr,0.5007467512343662
E2F6,shape_and_jaspar,,main,aupr,0.8323264962862519
E2F6,shape_and_jaspar,,0,aupr,0.8576639245855718
E2F6,shape_and_jaspar,,1,aupr,0.8120936826006051
E2F6,shape_and_jaspar,,2,aupr,0.8109335091216052
E2F6,shape_and_jaspar,,3,aupr,0.8343799838822943
E2F6,shape_and_jaspar,,4,aupr,0.7860819913675271
E2F6,shape_and_seq_no_lasso,,main,aupr,0.857741989768564
E2F6,shape_and_seq_no_lasso,,0,aupr,0.8595691212782506
E2F6,shape_and_seq_no_lasso,,1,aupr,0.8853473421032759
E2F6,shape_and_seq_no_lasso,,2,aupr,0.7877477404518192
E2F6,shape_and_seq_no_lasso,,3,aupr,0.8608500594472638
E2F6,shape_and_seq_no_lasso,,4,aupr,0.8449908186115939
EBF1,seq,,main,aupr,0.7848601189064859
EBF1,seq,,0,aupr,0.7405167076461033
EBF1,seq,,1,aupr,0.7998026283229335
EBF1,seq,,2,aupr,0.7624938956562928
EBF1,seq,,3,aupr,0.8232550239650352
EBF1,seq,,4,aupr,0.7915022836358645
EBF1,shape,,main,aupr,0.6761874616102321
EBF1,shape,,0,aupr,0.6880893254262417
EBF1,shape,,1,aupr,0.6979878618113913
EBF1,shape,,2,aupr,0.6818223796710758
EBF1,shape,,3,aupr,0.6987029290999714
EBF1,shape,,4,aupr,0.6965944881889764
EBF1,shape_and_seq,,main,aupr,0.8097018272196881
EBF1,shape_and_seq,,0,aupr,0.751891782283567
EBF1,shape_and_seq,,1,aupr,0.8212892548188713
EBF1,shape_and_seq,,2,aupr,0.7633662864506421
EBF1,shape_and_seq,,3,aupr,0.8304088201159247
EBF1,shape_and_seq,,4,aupr,0.8145759074725732
EBF1,jaspar,,main,aupr,0.6319940073966197
EBF1,jaspar,,0,aupr,0.6716109838560819
EBF1,jaspar,,1,aupr,0.6041134814499611
EBF1,jaspar,,2,aupr,0.6266356100960461
EBF1,jaspar,,3,aupr,0.604069384735128
